,table_names,table_vers,created_dates,updated_dates,descriptions,comments
2263,VSAM-FILE-STATUS-RCRD,1,1988-01-21,1988-01-26,VSAM FILE STATUS RECORD,
3534,WK-8M-12,1,1988-01-21,1988-10-18,WORK RECORD MAP ADMU8M01,THIS RECORD IS A MAP WORK RECORD FOR THE 8M TRANSACTION
2523,WK-ELIGIBLE-LN-SUBSTN,1,1988-01-21,1988-01-21,RH LOANS ELGIBLE FOR SUBSTITUTION,
2438,WK-CL-INQ,1,1988-01-27,1991-04-11,LOAN CLASSIFICATION SCREEN,
2940,WK-SU-INQ,1,1988-01-29,1996-03-11,RECORD FOR STATUS TYPE SU,WORK RECORD USED TO BUILD THE SUBSIDY RECORD INQUIRY SCREEN
360,BDGTCTRL,2,1988-02-01,,BUDGET SUBSYSTEM STATE & FY DATA,
2553,WK-F1-INQ,1,1988-02-04,1995-11-22,FARMER PROG INS RE CLOSED LN SCREEN,THIS RECORD IS USED AS A MAP WORK RECORD FOR THE F1 STATUS DISPLAY SCREEN
3529,WK-7S-02,1,1988-02-05,,RH LOAN SUBSTITUTION PROCESS,THIS TRANSACTION IS USED TO SUBSTITUTE A DIFFERENT LOAN FOR ONE RETURNED TO FMHA OR TO RECEIVE A LOAN BACK FROM THE TRUSTEE.
1018,LN-CLSSFCTN-RCRD,1,1988-02-16,1991-05-10,LOAN CLASSIFICATION RECORD,"LOAN CLASSIFICATION RECORD USED IN CP, FP, AND RH LOAN CLASSIFICATIONS. CREATED BY DATA BASE EXTRACTS."
1029,LNASSET-WK,1,1988-02-16,1988-05-02,LOAN ASSET WORK RECORD,LOAN ASSET WORK RECORD
2177,TRNING,3,1988-02-17,,TRAINING DATA FOR BUDGET SUBSYSTEM,
2439,WK-CL-INQ-02,1,1988-02-18,1988-08-24,CLIENT WORK RECORD,
22,ADPS-CL-WORK-RCRD,1,1988-02-19,1991-04-10,ADPS WORK RECORD USED TO CREATE MAP,ADPS WORK RECORD USED TO CREATE MAP FOR TRANSACTION INQUIRY SCREEN
2181,TRNSFER,1,1988-02-23,1995-08-11,ONLINE HISTORY TRANSFER RECORD,"AN ONLINE HISTORY RECORD REPRESENTING A TRANSFER TRANSACTION TO THE BORROWERS LOAN ACCOUNT.  CAN BE A TRANSFER TO A DIFFERENT STATE, COUNTY, LOAN NUMBER, AND/OR CASE NUMBER."
2549,WK-FP-INQ,1,1988-02-23,1995-11-29,CLSD LOANS FARM PGM EXCEPT JURIS. AA,
2854,WK-REC-5,1,1988-02-23,1988-07-11,ONLINE HISTORY WORK RCRD FIVE,THIS WORK RECORD IS USED TO MOVE TRANSACTION DATA IN FORMATTED FORM FROM AWTG05 PROGRAM TO AWDI19 DAILOG.
2855,WK-REC-6,1,1988-02-23,1988-06-21,ONLINE HISTORY WORK RCRD SIX,THIS WORK RECORD IS USED TO MOVE TRANSACTION DATA IN FORMATTED FORM FROM AWTG05  PROGRAM TO AWDI17 DAILOG.
2856,WK-REC-7,1,1988-02-23,1988-06-21,ONLINE HISTORY WORK RCRD SEVEN,THIS WORK RECORD IS USED TO MOVE TRANSATION DATA IN FORMATTED FORM FROM AWTG05  PROGRAM TO AWDI17 DAILOG.
2857,WK-REC-8,1,1988-02-23,1988-06-21,ONLINE HISTORY WORK RCRD EIGHT,THIS WORK RECORD IS USED TO MOVE TRANSATION DATA IN FORMATTED FORM FROM AWTG05 PROGRAM TO AWDI17 DAILOG.
2858,WK-REC-9,1,1988-02-23,1988-06-21,ONLINE HISTORY WORK RCRD NINE,THIS WORK RECORD IS USED TO MOVE TRANSATION DATA IN FORMATTED FORM FROM AWTG05 PROGRAM TO AWDI17 DAILOG.
2952,WK-TELNT-RCRD,1,1988-02-25,1988-02-25,WORK RECORD FOR TADU12 (TELNT CDE),WORK RECORD FOR TADU12 TO ASSIGN EQPMT-NODE-ID-902
2652,WK-HOLD-CUM,1,1988-03-14,1990-05-09,RECORD FOR OBLIG TOTAL,APPROPRIATION ACCOUNTING WORK RECORD TO HOLD CUMULATIVE TOTALS FOR COMPAISON
2506,WK-DIST-CH-RCRD,1,1988-03-28,1988-04-04,WK RCRD FOR M2G CHK DIST,WORK RECORD FOR SFDLD111 TO DO NUMERIC CHECK FOR DIST OFFICE.
1035,LNINFO-ERROR-RCRD,1,1988-03-29,1988-05-02,DISPLAYS INFO ON ONLINE ERRORS,DISPLAYS INFO ON LINE ERRORS
992,JG-TG0801-RCRD,1,1988-03-30,1993-11-15,SFH LOAN SERVICING ACTIONS RECORD,RH LOAN SERVICING ACTIONS RECORD CREATED BY COMBINING FIELDS FROM A MATCH BETWEEN THE 580 DELIQUENCY FILE AND THE EXTRACT FILE.
2354,WK-ALTMT-ACCUM,1,1988-04-04,1988-04-05,WORK RECORD TO ACCUM TOTALS FOR APPROP,TOTAL ACCUMULATOR FOR APPROP ACCTG
3263,WK-1W-02,1,1988-04-07,1989-11-08,LOAN CHARGE ADJUSTMENT,LOAN CHARGE ADJUSTMENT
1028,LNASSET,1,1988-04-08,1988-05-02,LOAN INFO WORK RECORD,LOAN INFO WORK RECORD
1034,LNINFO,3,1988-04-11,1988-05-02,LOAN INFO RECORD,LOAN INFO RECORD
2117,TBL-DISPLAY,1,1988-04-11,,TABLE FIELDS RECORD,
2544,WK-FKMI04,1,1988-04-11,,WORK RECORD FOR MAP FKMI04,
3588,WK2-FKMI04,1,1988-04-11,,2ND WORK RECORD FOR MAP FKMI04,
2282,W-SITE-LOOKUP,1,1988-04-15,1992-02-14,MAP RECORD FOR ARDU0001,CONTAINS VALUES FOR SCREEN ARMU0001
2269,W-MAP-HEAD,1,1988-04-20,1992-07-28,HEADING INFORMATION,FILL IN FIELDS ON HEADER LINES OF MAPS
2271,W-MAP-WORK1,1,1988-04-20,1988-04-20,MAP RECORD FOR ARMU0001,CONTAINS RECORDS FOR MAP
2272,W-MAP-WORK2,1,1988-04-20,1988-04-20,MAP RECORD FOR ARMU0002,CONTAINS ELEMENTS FOR MAP
2270,W-MAP-WORK-4,1,1988-04-21,1989-02-16,MAP RECORD FOR ARMU0003,RECORDS ATTACHED TO MAP
2273,W-MAP-WORK3,1,1988-04-21,1989-02-16,MAP RECORD FOR ARMU0003,CONTAINS RECORDS TIED TO MAP
2286,W-WORK1,1,1988-04-22,1989-02-16,WORK RECORD,WORK RECORD FOR ARDU0001
1325,RCTDISB,2,1988-04-25,,RECEIPT-DISBURSMENT,
654,FARMS-ACCT-HIST,2,1988-05-02,1999-11-18,ACCOUNT HISTORY RECORDS,ACCOUNT HISTORY DATABASE RECORD.  CONTAINS COMMON HISTORICAL DATA FOR CLIENT LOAN AND GRANT  ACCOUNTS.
1243,PREPTI-RCRD,1,1988-05-09,1988-05-27,ADPS INPUT REPORT RECORD,
1244,PREPTO-RCRD,1,1988-05-09,1988-05-11,ADPS OUTPUT REPORT RECORD,
2268,W-LOCTN-LOOKUP,1,1988-05-09,1990-09-25,MAP SCREEN FOR ARMU0002,CONTAINS INFORMATION FOR ARDU0002
1865,SGDLD364-WORK-RCRD,1,1988-05-10,1988-10-31,,  WORK RECORD FOR DIALOG SGDLD364
3611,WRK-REPT-RCRD-DTL-350,1,1988-05-13,1991-04-15,WORK REPORT RCRD 350 DETAIL,THIS RECORD IS A WORK RECORD FOR BATCH DISTRICT OFFICE PYMT SYSTEM
2846,WK-REC-FOUR,1,1988-05-16,1988-06-21,THIS IS A WORK RECORD FOR SUMMARY OLH,THIS IS USED FOR SUMMARY TOTALS
2849,WK-REC-THREE,1,1988-05-16,1988-06-28,ONLINE HISTORY WORK RCRD THREE,THIS RECORD IS USED TO DISPLAY SUMMARY TOTAL LINES. THIS RECORD IS USED TO FORMATT SCREEN DETAIL LINES ON ONLINE HISTORY SUMMARY SCREEN.
2295,WK-ACMG001,1,1988-05-20,1988-05-27,MAP RECORD FOR NAS SYSTEM,
2296,WK-ACMG003,1,1988-05-20,,MAP RECORD FOR NAS SYSTEM,
2307,WK-ACMG020,1,1988-05-20,1988-06-03,MAP RECORD FOR NAS SYSTEM,
2309,WK-ACMG040,1,1988-05-20,1988-06-21,MAP RECORD FOR NAS SYSTEM,
2250,USERINFO,1,1988-05-24,1988-06-10,USER SECURITY AND INFORMATION DATA,
282,APPLCMT,1,1988-05-25,1988-06-09,NAS COMMENTS RECORD FOR APPEAL FUNCTION,
1150,NATIONAL,1,1988-05-25,1988-06-10,NATIONAL OFFICE RECORD,
450,CODEREC,1,1988-05-26,1988-06-09,CODE TABLE RECORD,
916,HEAROFC,1,1988-05-26,1988-06-10,HEARING OFFICER RECORD,
1152,NHEAROFC,1,1988-05-26,1988-06-10,NATIONAL HEARING OFFICER RECORD,
2764,WK-NAS-GLOBAL,1,1988-05-26,1988-06-17,NAS GLOBAL MAP WORK RECORD,RECORD IS USED FOR THE HEADING OF ALL SCREENS IN NAS SYSTEM
1122,MRS-DLMT-DELQ-RCRD,1,1988-06-06,,,THE MRS DELINQUENCY RECORD WITH DELIMITERS FOR THE PRELUDE DATA BASE
2300,WK-ACMG012,1,1988-06-13,1988-07-19,MAP RECORD FOR NAS SYSTEM,
2312,WK-ACMG201,1,1988-06-13,1988-06-18,ACMG201 MAP WORK RECORD,
2311,WK-ACMG200,1,1988-06-14,1988-06-25,MAP RECORD FOR NAS SYSTEM,
2321,WK-ACMU046,1,1988-06-27,1988-07-05,MAP RECORD FOR NAS SYSTEM,
595,DTE-WS-RCRD,1,1988-07-01,,WORK-RECRD,STORE GRGRN-DTE
1229,PMATS-RCRD,1,1988-07-01,1988-07-26,PMATS RECORD,PRODUCTIVITY MEASUREMENT AND ACTIVITY TRACKING SYSTEM DATABASE OUTPUT RECORD FORMAT
3616,WS-DTE-RCRD,1,1988-07-01,1988-07-05,WORK DATE RECORD,CONVERSION OF D022-PYMT-STAT-MFH
970,INT-MTURTY-HOLD-RCRD,1,1988-07-05,1988-07-06,INTEREST MATURITY TRANSACTION RECORD,HOLD RCRD FOR SDDLD291
274,ANL-STMT-PROC-RCRD,1,1988-07-06,1988-07-06,ANNUAL STATEMENT PROCESS CODE,DETAIL TRANSACTION RECORD-M4B
2302,WK-ACMG014,1,1988-07-09,1988-07-25,ACMG014 MAP WORK RECORD,
2304,WK-ACMG016,1,1988-07-11,1988-07-12,ACMG016 MAP WORK RECORD,
851,FULLY-PD-CDE-RCRD,1,1988-07-15,1988-10-17,FULLY PAID CODE RECORD,RECORD USED FOR FULLY PAID CODES
2310,WK-ACMG041,1,1988-07-16,,MAP RECORD FOR NAS SYSTEM,
2320,WK-ACMU043,1,1988-07-16,,MAP RECORD FOR NAS SYSTEM,
3199,WK-1G-35,1,1988-07-20,1993-12-14,CREDIT SALE OF ACQD REAL ESTATE,THIS RECORD IS USED BY 1G TRANSACTION PROGRAMS
2298,WK-ACMG010,1,1988-07-20,1988-07-28,ACMG010 MAP WORK RECORD,
747,FARMS-LN-NO-INT,1,1988-07-28,1999-11-18,LOAN NO INTEREST,NO INTEREST LOANS DATABASE RECORD.  RECORDS DATA FOR SUBSIDARY LOANS WHICH DO NOT  ACCRUE INTEREST
1151,NFC-RCRD,1,1988-07-29,1989-06-23,NATIONAL FINANCE CENTER RECORD,OUTPUT RECORD FOR PMATS WHICH CONTAINS STATISTICAL INFORMATION EXTRACTED FROM NATIONAL FINANCE CENTER DATABASE.
3267,WK-2E-12,1,1988-07-29,1991-02-22,CASH CLCTN-ACQD-PROP-LSE PYMT,"TRANSACTION 2E,  CASH COLLECTION - ACQUIRED PROPERTY OR LEASE PAYMENT. WK-2E-12 IS THE WORK RECORD FOR PGM ADTU2E01 AND MAP ADMU2E02."
2342,WK-AI-INQ-01,1,1988-07-29,1995-11-29,ACCT INFO PAGE 1 STATUS WORK RECORD,WORK RECORD FOR MAP ADMIAI01/PGM ADTIAI01
2343,WK-AI-INQ-02,1,1988-07-29,1995-12-05,ACCT INFO PAGE 2 STATUS WORK RECORD,WORK RECORD FOR MAP ADMIAI02/PGM ADTIAI02
527,DBMS-REC1,1,1988-08-03,2010-07-16,,
528,DBMS-REC2,1,1988-08-03,2010-07-16,,
529,DBMS-SORT-REC,1,1988-08-03,2010-07-16,,
2167,TPSCOMM,1,1988-08-03,2010-07-16,MTFS TRANSMISSION HEADER,
3297,WK-3L-02,1,1988-08-05,1990-05-10,WRITEOFF LEASE ACCOUNT,"TRANSACTION 3L, WRITEOFF LEASE ACCOUNT - ACQUIRED PROPERTY. WK-3L-02 IS A WORK RECORD FOR PGM ADTU3L01 AND MAP ADMU3L01; CARD TYPE 2."
271,AMAS-RCRD,1,1988-08-08,1988-08-10,AUTO MULTI-FAMILY HOUSING ACCTG SYSTEM,AUTOMATED MULTI-FAMILY HOUSING ACCOUNTING SYSTEM - AMAS DATABASE
1102,MO-DATA-LOAD-RCRD,1,1988-08-08,1989-06-23,MONTH DATA LOAD RECORD,PMATS MONTH DATA LOAD RECORD
3216,WK-1H-02,1,1988-08-08,1993-06-22,,"TRANSACTION 1H, CASH SALE CHARACTERISTICS - ACQUIRED PROPERTY. WK-1H-02 IS A WORK RECORD FOR PGM ADTU1H01 AND MAP ADMU1H01; CARD TYPE 2."
3217,WK-1H-03,1,1988-08-08,1992-06-09,CASH SALES CHARACTERISTICS - ACQD PROP#2,"TRANSACTION 1H, CASH SALE CHARACTERISTICS ACQUIRED PROPERTY. WK-1H-03 IS A WORK RECORD FOR PGM ADTU1H01 AND MAP ADMU1H01."
1124,MRS-RCRD,1,1988-08-11,1988-09-07,MANAGEMENT RECORD SYSTEM,MANAGEMENT RECORD SYSTEM OUTPUT RECORD FORMAT
400,CBRAMS-AMAS-INTRFC-RCRD,1,1988-08-12,1988-09-29,CBRAMS AMAS INTERFACE RECORD,
3253,WK-1S-02,1,1988-08-16,1995-12-04,1S;LEASE OF REAL PROPERTY;CD TYPE 2,"TRANSACTION 1S, LEASE OF REAL PROPERTY. WK-1S-02 IS A WORK RECORD FOR PGMS ADTU1S01 THRU ADTU1S08 AND MAPS ADMU1S01 THRU ADMU1S08."
3254,WK-1S-13,1,1988-08-16,1992-11-19,1S;LEASE OF REAL PROPERTY;CD #1 TYP 3,"TRANSACTION 1S, LEASE OF REAL PROPERTY. WK-1S-13 IS A WORK RECORD FOR PGMS ADTU1S01 AND ADTU1S08, AND MAPS ADMU1S01 & ADMU1S08"
3255,WK-1S-23,1,1988-08-16,1992-11-19,1S;LEASE OF REAL PROPERTY;CD #2 TYP 3,"TRANSACTION 1S, LEASE OF REAL PROPERTY. WK-1S-23 IS A WORK RECORD FOR PGMS ADTU1S01 AND ADTU1S08 AND MAPS ADMU1S01 AND ADMU1S08"
3256,WK-1S-33,1,1988-08-16,1992-11-19,1S;LEASE OF REAL PROPERTY;CD #3 TYP 3,"TRANSACTION 1S, LEASE OF REAL PROPERTY. WK-1S-13 IS A WORK RECORD FOR PGMS ADTU1S01 AND ADTU1S08, AND MAPS ADMU1S01 & ADMU1S08"
2747,WK-MAP-RCRD,1,1988-08-17,1990-02-24,ACQUIRED PROP MAP WORK RCRD,"THIS WORK MAP RECORD IS USED TO MOVE SYSTEM DATE,TIME AND OPERATOR ID TO AQUIRE D PROPERTY ONLINE HISTORY MAPS. AQUIRED PROPERTY ON LINE HISTORY MAP RECORD USED TO MOVE SYSTEM DATE,TIME AND OPERATOR ID TO SCREEN."
2825,WK-RCFTS-CTRL,1,1988-08-17,1989-02-24,RCFTS GLOBAL MAP WORK RECORD,
2828,WK-RCFTS-GLOBAL,1,1988-08-17,1988-09-09,,RECORD IS USED FOR THE HEADING OF ALL SCREENS IN RCFTS SYSTEM
3035,WK-TSMUCP01,1,1988-08-18,1988-08-18,MAP RECORD FOR TSDUCP01 -RCFTS,
987,IRS-F-RCRD,1,1988-08-23,1988-10-17,,F RECORD FOR FMHA RENT REPORT TO IRS
983,IRS-C-RCRD,1,1988-08-24,1989-03-13,INTERNAL REVENUE SERVICE C RECORD,C RECORD FOR FMHA RENTAL ASSISTANCE REPORTS TO THE IRS
2958,WK-TPSORT-RCRD,2,1988-08-29,1988-09-02,,
3468,WK-5L-12,1,1988-09-06,1990-07-20,TRANS 5L; CARD IMAGE TYPE 2 NBR 1,"WORK RECORD FOR THE 5L ADPS INPUT TRANSACTION I/O CARD IMAGE FOR ADPS MAP ADMU5L01 AND PGM ADTU5L01.  IT CONTAINS REQUIRED DATA FOR TRANSACTION 5L.  CARD TYPE 2, NBR 1."
3469,WK-5L-22,1,1988-09-06,1993-01-26,TRANS 5L; CARD IMAGE TYPE 2 NBR 2,"WORK RECORD FOR THE 5L INPUT TRANSACTION I/O CARD IMAGE FOR ADPS MAP ADMU5L01 AND PGM ADTU5L01.  IT CONTAINS REQUIRED DATA FOR TRANSACTION 5L.  CARD TYPE 2, NBR 2."
3025,WK-TSMUBI62,1,1988-09-07,,MAP RECORD FOR TSDUBI62-RCFTS,
3005,WK-TSMGBI70,1,1988-09-14,1988-09-22,B & I MENU MAP WORK RECORD,
3008,WK-TSMGCP23,1,1988-09-14,1988-09-14,CP TABLE MENU MAP WORK RECORD,RECORD IS USED FOR THE CP TABLE MAINTENCE MENU IN RCFTS SYSTEM
2829,WK-RCFTS-HDR,1,1988-09-20,1989-09-14,MAP RECORD,
2830,WK-RCFTTM,1,1988-09-20,1993-03-25,MAP WORK RECORD,
3006,WK-TSMGCP00,1,1988-09-20,1989-01-24,MAP WORK RECORD,
3042,WK-TSMUCP05,1,1988-09-22,2001-05-03,FINAL SCRIPT/VS DOCUMENT OPTIONS,
2384,WK-AP01-INQ,1,1988-09-27,1993-03-11,,PGM ADTIAP01 MAP ADMIAP01
2385,WK-AP02-INQ,1,1988-09-27,1993-09-25,ACQD PROP STATUS INQUIRE PAGE TWO,PGM ADTIAP02 MAP ADMIAP02
281,APPEAL,3,1988-09-30,1990-08-07,NAS SYSTEM APPEAL TRACKING RECORD,
318,AREAOFC,2,1988-09-30,1988-09-30,AREA OFFICE RECORD,
2726,WK-LE01-INQ,1,1988-09-30,1992-04-07,LEASE INFORMATION,DATA FROM ACQD-PROP/ LESSEE/ LSE-INF0
2973,WK-TSDGCP01,1,1988-10-05,1989-03-04,MAP WORK RECORD,
2297,WK-ACMG007,1,1988-10-06,,ACMG007 MAP WORK RECORD,
2313,WK-ACMU009,1,1988-10-06,1995-02-01,ACMU009 MAP WORK RECORD,
2763,WK-NAS-CTRL,1,1988-10-06,1988-10-31,NAS CONTROL RECORD,
3055,WK-TSMUCP10,1,1988-10-06,1999-08-10,MAP RECORD FOR RCFTS FUND&COST1,
2314,WK-ACMU010,1,1988-10-11,1988-10-13,ACMU010 MAP WORK RECORD,
2315,WK-ACMU011,1,1988-10-11,,ACMU011 MAP WORK RECORD,
2316,WK-ACMU012,1,1988-10-11,,ACMU012 MAP WORK RECORD,
2317,WK-ACMU013,1,1988-10-11,,ACMU013 MAP WORK RECORD,
2318,WK-ACMU014,1,1988-10-11,1990-08-07,ACMU014 MAP WORK RECORD,
2299,WK-ACMG011,1,1988-10-12,,MAP RECORD FOR NAS SYSTEM,
2301,WK-ACMG013,1,1988-10-12,,MAP RECORD FOR NAS SYSTEM,
2303,WK-ACMG015,1,1988-10-12,,ACMG015 MAP WORK RECORD,
2305,WK-ACMG017,1,1988-10-12,,MAP RECORD FOR NAS SYSTEM,
2306,WK-ACMG019,1,1988-10-12,,ACMG019 MAP WORK RECORD,
2308,WK-ACMG022,1,1988-10-12,,MAP RECORD FOR NAS SYSTEM,
2890,WK-SECURITY-CTRL,1,1988-10-13,1989-03-04,WORK RECORD FOR TSDUBI52,
2891,WK-SECURITY-HDR,1,1988-10-13,1989-01-23,,
3028,WK-TSMUBI71,1,1988-10-13,1999-07-28,MAP REC FOR MISTR,
3066,WK-TSMUCP22,1,1988-10-13,1999-01-22,FINAL SCRIPT/VS DOCUMENT OPTIONS,
3043,WK-TSMUCP06,1,1988-10-14,1999-01-11,MAP RECORD FOR RCFTS FACILITY 2,
981,IRS-A-RCRD,1,1988-10-17,1988-10-18,INTERNAL REVENUE SERVICE A RECORD,A RECORD FOR MAGNETIC TAPE USED FOR REPORTING TO THE INTERNAL REVENUE SERVICE
982,IRS-B-RCRD,1,1988-10-17,1988-12-07,INTERNAL REVENUE SERVICE B RECORD,B RECORD USED FOR MAGNETIC TAPE REPORTING TO THE INTERNAL REVENUE SERVICE
2144,TEXTREC,2,1988-10-17,1989-02-22,TEXT MISTR DATABASE RECORD,
322,AUBS03CI-LINKAGE-RCRD,1,1988-10-18,1989-12-11,LINKAGE RECORD FOR AUBS03CI PROGRAM,LINKAGE RECORD USED WITH AUBS03CI WHICH CALCULATES THE AMOUNT OF INTEREST TO BE CAPITALIZED AND NON-CAPITALIZED FOR REAMS AND CONSOLIDATIONS.
641,FAADS-FOC-RCRD,1,1988-10-18,1996-01-11,FAADS FOCUS RECORD,RECORD THAT WILL BE USED TO UPDATE A FOCUS FILE BY FAADS PERSONNEL
2153,TG0601-RCRD-DTL-CY88,1,1988-10-18,1988-10-19,IRS FORM 1099-A REPORTING FILE RECD-1988,"IRS FORM 1099-A (INFORMATION RETURN FOR ACQUISITION OR ABANDONMENT OF SECURED PROPERTY).  PAYEE ""B"" RECORD.  THIS RECORD CONTAINS THE PAYMENT INFORMATION FROM THE INDIVIDUAL 1992-2 HOLDING FILE RECORDS ACCORDING TO THE CALENDAR YEAR 1988 SPECIFICATIONS.  THIS RECORD WILL BE A REDFINES OF THE ORIGINAL (CY87) RECORD WITH ONLY THAT PORTION OF THE RECORD DIFFERENT FROM 1987 SPECIFICALLY DEFINED (POS 322 THRU 420).  POSITIONS 1 THRU 321 ARE DEFINED AS FILLER AND WILL BE VALUED BY MEANS OF THE ORIGINAL DATA NAMES."
3408,WK-4L-5A,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 01-03,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5A IS A WORK RECORD FOR PGM ADTU4L01 AND MAP ADMU4L01."
3409,WK-4L-5B,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 04-06,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5B IS A WORK RECORD FOR PGM ADTU4L01 AND MAP ADMU4L01."
3410,WK-4L-5C,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 07-09,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5C IS A WORK RECORD FOR PGM ADTU4L01 AMD MAP ADMU4L01."
3411,WK-4L-5D,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 10-12,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5D IS A WORK RECROD FOR PGM ADTU4L01 AND MAP ADMU4L01."
3412,WK-4L-5E,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 13-15,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5E IS A WORK RECORD FOR PGM ADTU4L01 AND MAP ADMU4L01."
3413,WK-4L-5F,1,1988-10-18,1989-03-21,CORRECTION OF ANNUAL INSTALLMENTS 16-18,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5F  INSTLMT 16 IS FOR PGM ADTU4L01 AND MAP ADMU4L01 INSTLMTS 17 AND 18 ARE FOR PGM ADTU4L02 AND MAP ADMU4L02."
3414,WK-4L-5G,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 19-21,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5G IS A WORK RECORD FOR PGM ADTU4L02 AND MAP ADMU4L02."
3415,WK-4L-5H,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 22-24,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5H IS A WORK RECORD FOR PGM ADTU4L02 AND MAP ADMU4L02."
3416,WK-4L-5I,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 25-27,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5I IS A WORK RECORD FOR PGM ADTU4L02 AND MAP ADMU4L02."
3417,WK-4L-5J,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 28-30,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5J IS A WORK RECORD FOR GPM ADTU4L02 AND MAP ADMU4L02."
3418,WK-4L-5K,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 31-33,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5K IS A WORK RECORD FOR PGM ADTU4L02 AND MAP ADMU4L02."
3419,WK-4L-5L,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 34-36,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5L IS A WORK RECORD FOR PGM ADTU4L02 AND MAP ADMU4L02."
3420,WK-4L-5M,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENTS 37-39,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5M IS A WORK RECROD FOR PGM ADTU4L02 AND MAP ADMU4L02."
3421,WK-4L-5N,1,1988-10-18,1988-10-18,CORRECTION OF ANNUAL INSTALLMENT  40,"TRANSACTION 4L, CORRECTION OF ANNUAL INSTALLMENTS WK-4L-5N IS THE LAST WORK RECORD FOR PGM ADTU4L02 AND MAP ADMU4L02."
3056,WK-TSMUCP11,1,1988-10-20,1999-01-12,MAP RECORD FOR RCFTS FUND&COST1,
1185,OFCSRVC-RPT,1,1988-10-21,1988-12-07,OFCSRVC REPORT RECORD,
3041,WK-TSMUCP04,1,1988-10-26,1996-02-28,MAP RECORD FOR TSMUCP04,
2959,WK-TR-INQ,1,1988-10-27,1992-12-07,,TR TRANSACTION REVERSAL STATUS
3109,WK-TSWUCP05,1,1988-10-29,1999-08-09,WORK RECORD FOR RCFTS FACILITY 1,
3029,WK-TSMUBI72,1,1988-11-01,1988-11-01,,
2974,WK-TSDRCFTT,1,1988-11-02,1989-01-24,,
3110,WK-TSWUCP08,1,1988-11-02,1995-05-01,WORK RECORD FOR RCFTS FUND & USER 1,
2983,WK-TSDUCP02,1,1988-11-03,1999-07-21,DIALOG TSDUCP01 - WORK RECORD,
3065,WK-TSMUCP21,1,1988-11-03,1989-02-24,MAP REC FOR MISTR,
3099,WK-TSSUCP02,1,1988-11-03,1989-02-22,DIALOG TSDUCP02 - WORK RECORD,
3115,WK-UN-INQ,1,1988-11-04,2002-01-02,UNCLOSED LNS EXCEPT JURIS. AA SCREEN,RECORD USED FOR DISPLAY OF UNCLOSEDLOANS
3059,WK-TSMUCP14,1,1988-11-05,1999-01-20,MAP RECORD FOR RCFTS WW SUBSID,
3111,WK-TSWUCP14,1,1988-11-07,1989-03-29,MAP RECORD FOR RCFTS WW SUBSID,
474,CRDT-RCRD,1,1988-11-08,2002-01-10,CREDIT REPORTING RECORD,RECORD LAYOUT FOR CREDIT REPORTING
835,FIPS-LOCTN-RCRD,1,1988-11-08,1990-05-22,FIPS LOCATION RECORD,FEDERAL INFORMATION PROCESSING STANDARDS PUBLICATION LOCATION RECORD
3162,WK-1D-02,1,1988-11-09,1991-01-15,LOAN CANCELLATION-OBLIGATION ONLY,FUND CONTROL FOR INTEREST RATE REDUCTION ON GUARANTEED LOANS
736,FARMS-INT-BDWN,4,1988-11-10,1988-11-10,,
759,FARMS-MALLOT-OBLGN,3,1988-11-10,1999-11-18,,MASTER ALLOTMENT OBLIGATION DATABASE RECORDS.  RECORDS DATA ON OBLIGATIONS ISSUED AGAINST AN ALLOTMENT.
